:ID,name,:LABEL
4001,David Klein,04_Person
4003,Fiona Schwarz,04_Person
4004,Gina Vogel,04_Person
4005,Hans Meier,04_Person
4006,Isabel Krüger,04_Person
4007,Jonas Becker,04_Person
4008,Klara Sommer,04_Person
4009,Leon Wolf,04_Person
4010,Maria Weber,04_Person
4011,Niklas Braun,04_Person
4012,Olivia Richter,04_Person
4013,Paul König,04_Person
4014,Quirin Haas,04_Person
4015,Renate Blum,04_Person
4016,Sebastian Roth,04_Person
4017,Tina Fischer,04_Person
4018,Uwe Lehmann,04_Person
4020,Wolfgang Dietz,04_Person
4021,Xenia Brandt,04_Person
4022,Yannick Keller,04_Person
4023,Zoe Frank,04_Person
4024,Andreas Schmidt,04_Person
4025,Bettina Kurz,04_Person
4028,10.1234/example-doi.2025.003,04_Paper
4029,10.1234/example-doi.2025.004,04_Paper
4030,10.1234/example-doi.2025.005,04_Paper
4031,10.1234/example-doi.2025.006,04_Paper
4032,10.1234/example-doi.2025.007,04_Paper
4033,10.1234/example-doi.2025.008,04_Paper
4034,10.1234/example-doi.2025.009,04_Paper
4035,10.1234/example-doi.2025.010,04_Paper
4036,10.1234/example-doi.2025.011,04_Paper
4037,10.1234/example-doi.2025.012,04_Paper
4038,10.1234/example-doi.2025.013,04_Paper
4039,10.1234/example-doi.2025.014,04_Paper
4040,10.1234/example-doi.2025.015,04_Paper
4041,10.1234/example-doi.2025.016,04_Paper
4042,10.1234/example-doi.2025.017,04_Paper
4043,10.1234/example-doi.2025.018,04_Paper
4044,10.1234/example-doi.2025.019,04_Paper
4045,10.1234/example-doi.2025.020,04_Paper
4046,10.1234/example-doi.2025.021,04_Paper
4047,10.1234/example-doi.2025.022,04_Paper
